Power,Row,Action,r0,r1,r2,r3,r4,r5,Effect,Tags,Condition,Detail,Major,Minor,Lesser,Lore
Active Healing,Ability,Action,1d4,1d4+1,2d4+1,2d6+2,3d6+5,4d4+10,Heal,heal,,If the Hero is at full HP. he can heal a missing limb over a Long Rest,35,25,14,The Hero can regenerate his wounds as an action.
Adaptive Skin,Buff,,2,4,5,7,10,15,DS,ds,adapted to damage type,"Whenever the Hero incurs damage. he may adapt to that damage type. gaining a bonus to Natural DS.
This bonus remains in effect until the Hero chooses to drop the resistance.
The Hero may elect to drop the resistance at any time.
If the Hero incurs damage from a different damage type. he may elect to switch resistance to this new damage type.
The switch occurs at the conclusion of the instance.
While a resistance is up. the Hero has the NHL trait.
Each resistance has a unique visibility marker. identifying to the world which resistance is currently active.
Player & GM work together to determine the specifics.
",,,,
Adaptive Skin,Ability,Flash,,,,,,,Adapt,,after taking damage,Adapt to the damage type (physical / elemental / toxic) ,20,14,8,
Adjust Weight,Ability,See Detail,1,1,2,3,4,5,Object Size Change (+/-),,,"Works on physical objects. both organic and inorganic.
The power allows the Hero to alter the Object Size of any object. 
Once altered. the object operates at that Object Size for 1hour.
Action to Alter Weight:
r0: 1rnd Channel
r1: Action
r5: Flash
",15,11,6,The Hero adjusts the weight of an object
Armadillo Ball,Ability,Action,,,,,,,,,,"Hero can curl into a ball slightly larger than his own head (size of a basketball for an average human).
Curling and uncurling cost a PA.
Cannot use any limbs while in ball form
DS +2 while in ball form
Hero is blind while in ball form
",6,,,
Armadillo Ball,Buff,,2,,,,,,DS. blind. shrink,,,,,,,
Audio Mimicry,Buff,,,,,,,,Mimic any sound,,,"The Hero can mimic any voice. generate any sound. or play any music he desires. Max volume is about the same as a human full yell
The Hero can perfectly imitate any sound he has heard only once
The Hero can speak freely in someone else's voice if he has heard them speak a few sentences
",4,,,
Bark Armor,Ability,Action,0,0,2,4,6,10,Starting HP,,,,25,18,10,
Bark Armor,Buff,,2,6,10,15,20,30,Max HP,,,"Action activates Bark Armor
Starting HP based on rank
Bark Armor regens on upkeep
Cannot exceed Max HP. defined by rank
Action to activate/deactivate
",,,,Armor that grows more powerful over time
Bark Armor,Buff,,1,1,1,2,2,3,Regen HP,,,,,,,
Big Mitts,Buff,Passive,,,,,,,,,,"Upgrade Unarmed Melee attack
+2 Grip checks
Unable to manipulate small items (smaller than a banana). It's like wearing very heavy gloves. 
Hero cannot pass for a human without disguising or hiding the hands somehow
",5,,,Big. gorilla-like hands that hit hard. grip well. and look ridiculous
